Retailer Name,RetailerID,Batch Id,Group,Description,File Imported,Last Generated,By Category,All Categories,Supplier Summary,Not in Scope,Live
2 Sisters Food Group (UK),121,18649,,Demo Test Data,07/06/2023 18:15,25/08/2024 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,19668,Test COMSC-645,RegressionTest001,05/03/2024 20:08,29/10/2024 17:34,By Category,All Categories,Supplier Summary,Not in Scope,Yes
2 Sisters Food Group (UK),121,19821,,Test Date Format,11/01/2024 20:23,29/10/2024 17:38,By Category,All Categories,Supplier Summary,Not in Scope,Yes
2 Sisters Food Group (UK),121,19915,,AnnotationUpdate_SameRetailerUID_Range1,26/04/2024 19:08,26/04/2024 19:08,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,19916,,AnnotationUpdate_SameRetailerUID_Range2,26/04/2024 19:12,26/04/2024 19:12,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,19917,COMSC-677 Test,2 Sisters Food Group (UK) Range3,29/04/2024 18:08,29/04/2024 18:09,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20014,,Test range 113,26/06/2024 17:27,26/06/2024 17:28,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20029,,Test Import issue22,08/07/2024 20:22,30/09/2024 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20030,,Test import issue 2,27/09/2024 15:54,01/10/2024 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20031,,Test range 1102,24/09/2024 18:16,01/10/2024 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20032,,Test import issue 1102,08/07/2024 21:45,30/09/2024 21:06,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20033,,test import issue 1103,08/07/2024 21:48,08/07/2024 21:48,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20182,,TestRetailer - 2 Sisters Food Group (UK),28/10/2024 22:23,22/01/2025 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
2 Sisters Food Group (UK),121,20319,,test`,29/07/2025 20:59,29/07/2025 21:00,By Category,All Categories,Supplier Summary,Not in Scope,
AB World Foods (WL),369,14611,,AD World Foods Test 01,01/05/2023 19:38,25/07/2023 22:16,By Category,All Categories,Supplier Summary,Not in Scope,
AB World Foods (WL),369,19997,,AB World Foods (WL) Test,20/06/2024 17:41,04/07/2024 21:05,By Category,All Categories,Supplier Summary,Not in Scope,
AB World Foods (WL),369,20085,,name,09/10/2024 14:51,,By Category,All Categories,Supplier Summary,Not in Scope,
AB World Foods (WL),369,20165,,TestAB1,25/10/2024 20:02,,By Category,All Categories,Supplier Summary,Not in Scope,
AB World Foods (WL),369,20184,,TestRetailer - TestRetailer - 7 Eleven,28/10/2024 22:25,27/01/2025 21:23,By Category,All Categories,Supplier Summary,Not in Scope,
AF Blakemore,790,19913,,AF Blakemore Range 1,10/05/2024 21:57,10/05/2024 21:57,By Category,All Categories,Supplier Summary,Not in Scope,
AF Blakemore,790,20190,,TestRetailer - AF Blakemore,28/10/2024 22:30,02/02/2025 21:13,By Category,All Categories,Supplier Summary,Not in Scope,
AG Parfett & Sons,145,5881,"Miscellaneous Ranges (All Locations), Lincy IAC Test",XML Range,02/12/2023 04:14,13/02/2025 21:24,By Category,All Categories,Supplier Summary,Not in Scope,
AG Parfett & Sons,145,19938,,AG Parfett & Sons Range1,30/09/2024 15:18,22/05/2024 20:33,By Category,All Categories,Supplier Summary,Not in Scope,
